objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Dungeon Roll","138788","6","","0","1","0","0","0","0","0","0","0","1","","","","","","57833123","5.94243","6.101","1.3312","2937","15077","thing","Dungeon Roll","1","4","15","15","15","2013","1,2,3","2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: Adventure Begins","315196","7","","0","1","0","0","0","0","0","0","0","3","","","","","","79179523","5.64309","6.40774","1.3846","6276","1899","thing","Dungeons & Dragons: Adventure Begins","2","4","0","0","0","2020","2,3,4","4","6+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: Castle Ravenloft Board Game","59946","8","","0","1","0","0","0","0","0","0","0","1","","","","","","60304233","6.64515","6.9795","2.505","864","16018","thing","Dungeons & Dragons: Castle Ravenloft Board Game","1","5","60","60","60","2010","1,2,3,4,5","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: The Legend of Drizzt Board Game","91872","6.5","","0","1","0","0","0","0","0","0","0","1","","","","","","60304238","6.72665","7.22865","2.585","724","12816","thing","Dungeons & Dragons: The Legend of Drizzt Board Game","1","5","60","60","60","2011","1,2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: Wrath of Ashardalon Board Game","66356","6.5","","0","1","0","0","0","0","0","0","0","1","","","","","","60816943","6.65425","7.1148","2.6124","847","13039","thing","Dungeons & Dragons: Wrath of Ashardalon Board Game","1","5","60","60","60","2011","1,2,3,4,5","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Elder Sign","100423","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828154","6.80742","6.97415","2.3509","616","38671","thing","Elder Sign","1","8","90","90","90","2011","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Elder Sign: Gates of Arkham","166679","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57828156","6.81462","7.78957","2.5833","0","9430","thing","Elder Sign: Gates of Arkham","1","8","90","90","90","2015","1,2,3,4","2,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Elder Sign: Omens of Ice","189807","5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828159","6.26374","7.65816","2.5714","0","5591","thing","Elder Sign: Omens of Ice","1","8","90","90","60","2016","1,2,3,4","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Elder Sign: Omens of the Deep","212572","5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828163","6.12124","7.78471","2.8571","0","4384","thing","Elder Sign: Omens of the Deep","1","8","90","90","90","2017","1,2,3,4","1,3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"En Garde","169","4","","0","1","0","0","0","0","0","0","0","1","","","","","","57832838","5.97131","6.4995","1.4032","2781","2150","thing","En Garde","2","2","30","30","20","1993","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ethnos","206718","10","","0","1","0","0","0","0","0","0","0","3","","","","","","57824749","7.18999","7.47321","2.0357","265","14547","thing","Ethnos","2","6","60","60","45","2017","2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Famiglia","81453","5","","0","1","0","0","0","0","0","0","0","1","","","","","","57833046","6.08225","6.43467","1.7606","2261","4594","thing","Famiglia","2","2","30","30","30","2010","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
